state,program,identifier,begin,end,break,;,if,(,),else_if,else,int,integer,",",=,print_line,string,number_literal,>,<,==,!=,<=,>=,+,-,/,*,++,display,for,while,$,S,PROGRAM,IDENTIFIER,BLOCK,STATEMENT,STMT,IF_BLOCK,IF_STMT,ELSE_IF_STMT,NEW_ELSE_IF,ELSE_STMT,TYPE,COMPARISON_STMT,ASSIGNMENT,ASSIGN,ASSIGN��,EQUAL,ASSIGNED,ASSIGNED��,NUMORID,PRINT,STRING,NUMBER,COMPARISON_OP,ARITHOP,INCREMENTALOP,DISPLAY,FOR_STMT,WHILE_STMT
121,,r22,,r22,r22,,r22,,,r22,r22,r22,r22,,,r22,,,,,,,,,,,,,,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,r29,,,,,s20,,,,,s21,s22,,,s16,,,,,,,,,,,,,,s17,s18,s19,,,,,,134,,8,14,,,,15,,9,,,,,,,10,,,,,,11,12,13
123,,r25,,r25,r25,,r25,,,s39,r25,r25,r25,,,r25,,,,,,,,,,,,,,r25,r25,r25,,,,,,,,,,136,135,,,,,,,,,,,,,,,,,,,
124,,,,,,r34,,,,,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,
125,,,,,,r36,,,,,,,,r36,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,
126,,,,,,r39,,,,,,,,r39,,,,,,,,,,,s106,s107,s108,s109,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,105,,,,
127,,,,,,,,,r56,,,,,,,,,,,,,,,,,,,,s141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,
128,,r2,,r2,r2,,r2,,r2,,,r2,r2,,,r2,,,,,,,,,,,,,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,s142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,r23,,r23,r23,,r23,,,,r23,r23,r23,,,r23,,,,,,,,,,,,,,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,r24,,r24,r24,,r24,,,,r24,r24,r24,,,r24,,,,,,,,,,,,,,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,r34,,,,,,,,s103 / r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,
139,,,,,,r38,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,r3,,r3,r3,,r3,,,r3,r3,r3,r3,,,r3,,,,,,,,,,,,,,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,r33,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,
145,,r58,,r58,r58,,r58,,,,,r58,r58,,,r58,,,,,,,,,,,,,,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
